"plots" "plants" "soil" "treatment" "gradient" "response" "all_factors"
"1" 101 "Beetroot" "Black" "D" "0" 40.1880401547062 "Beetroot.Black.D.Black"
"2" 102 "Beetroot" "Clay" "A" "10" 57.1560065945031 "Beetroot.Clay.A.Clay"
"3" 103 "Beetroot" "Peat" "C" "30" 51.3603141842718 "Beetroot.Peat.C.Peat"
"4" 104 "Beetroot" "Sandy" "B" "20" 39.3949594840999 "Beetroot.Sandy.B.Sandy"
"5" 201 "Cucumber" "Black" "A" "30" 49.6462062647433 "Cucumber.Black.A.Black"
"6" 202 "Cucumber" "Clay" "D" "20" 42.5219077499024 "Cucumber.Clay.D.Clay"
"7" 203 "Cucumber" "Peat" "B" "0" 48.0054224870407 "Cucumber.Peat.B.Peat"
"8" 204 "Cucumber" "Sandy" "C" "10" 52.495964005953 "Cucumber.Sandy.C.Sandy"
"9" 301 "Radish" "Black" "C" "20" 52.20761528114 "Radish.Black.C.Black"
"10" 302 "Radish" "Clay" "B" "30" 42.8708535945364 "Radish.Clay.B.Clay"
"11" 303 "Radish" "Peat" "D" "10" 48.7898521464107 "Radish.Peat.D.Peat"
"12" 304 "Radish" "Sandy" "A" "0" 48.0383097430716 "Radish.Sandy.A.Sandy"
"13" 401 "Carrot" "Black" "B" "10" 47.7210687084245 "Carrot.Black.B.Black"
"14" 402 "Carrot" "Clay" "C" "0" 57.8574320388072 "Carrot.Clay.C.Clay"
"15" 403 "Carrot" "Peat" "A" "20" 62.1659294195989 "Carrot.Peat.A.Peat"
"16" 404 "Carrot" "Sandy" "D" "30" 48.9401751410931 "Carrot.Sandy.D.Sandy"
"17" 101 "Beetroot" "Black" "D" "0" 48.1263495654989 "Beetroot.Black.D.Black"
"18" 102 "Beetroot" "Clay" "A" "10" 55.078909354629 "Beetroot.Clay.A.Clay"
"19" 103 "Beetroot" "Peat" "C" "30" 52.0066123942811 "Beetroot.Peat.C.Peat"
