Field	Row	Column	Treat	Yield
1	I	i	E	633
2	I	ii	B	527
3	I	iii	F	652
4	I	iv	A	390
5	I	v	C	504
6	I	vi	D	416
7	II	i	B	489
8	II	ii	C	475
9	II	iii	D	415
10	II	iv	E	488
11	II	v	F	571
12	II	vi	A	282
13	III	i	A	384
14	III	ii	E	481
15	III	iii	C	483
16	III	iv	B	422
17	III	v	D	334
18	III	vi	F	646
19	IV	i	F	620
20	IV	ii	D	448
21	IV	iii	E	505
22	IV	iv	C	439
23	IV	v	A	323
24	IV	vi	B	384
25	V	i	D	452
26	V	ii	A	432
27	V	iii	B	411
28	V	iv	F	617
29	V	v	E	594
30	V	vi	C	466
31	VI	i	C	500
32	VI	ii	F	505
33	VI	iii	A	259
34	VI	iv	D	366
35	VI	v	B	326
36	VI	vi	E	420
